Station,Latitude,Longitude,Oxygen (umol/kg),Temperature,Salinity,fluorescence,O2 (% saturated),Depth (m)
1,36.78838,-121.91892,125.66,9.1598,33.9034,5.46E-01,44.5784,93
1,36.78838,-121.9189,126.127,9.176,33.9008,5.42E-01,44.75895,92
1,36.7884,-121.91892,126.564,9.1873,33.9,5.41E-01,44.92514,91
1,36.7884,-121.91892,126.772,9.1865,33.8994,5.55E-01,44.99788,90
1,36.7884,-121.91892,126.632,9.1862,33.8981,5.56E-01,44.94768,89
1,36.78842,-121.91892,126.653,9.1861,33.8979,5.53E-01,44.95466,88
1,36.78842,-121.9189,126.531,9.186,33.8971,5.62E-01,44.91106,87
1,36.78842,-121.91892,126.527,9.1869,33.8965,5.75E-01,44.91042,86
1,36.78842,-121.91892,126.482,9.1892,33.8965,5.60E-01,44.89657,85
1,36.78842,-121.91891,126.793,9.1891,33.8965,5.57E-01,45.00681,84
1,36.78843,-121.9189,126.89,9.1888,33.8965,5.52E-01,45.04109,83
1,36.78844,-121.9189,126.864,9.1895,33.8964,5.55E-01,45.0326,82
1,36.78844,-121.91891,126.973,9.1895,33.8957,5.55E-01,45.07116,81
1,36.78844,-121.9189,126.61,9.1882,33.8948,5.58E-01,44.94066,80
1,36.78844,-121.9189,126.761,9.1875,33.8937,5.44E-01,44.99302,79
1,36.78844,-121.91891,126.721,9.1873,33.8932,5.72E-01,44.97866,78
1,36.78844,-121.91892,126.489,9.1896,33.8884,5.55E-01,44.897,77
1,36.78844,-121.9189,125.529,9.1886,33.8894,5.32E-01,44.55548,76
1,36.78844,-121.9189,126.049,9.1908,33.8882,5.40E-01,44.74178,75
1,36.78844,-121.9189,125.996,9.1924,33.8871,5.35E-01,44.72418,74
1,36.78844,-121.9189,125.792,9.1944,33.8855,5.42E-01,44.65321,73
1,36.78844,-121.91887,125.552,9.1968,33.8827,5.34E-01,44.56945,72
1,36.78844,-121.91888,125.315,9.1965,33.8693,5.19E-01,44.48079,71
1,36.78844,-121.91888,122.663,9.1949,33.8674,4.63E-01,43.53726,70
1,36.78844,-121.91887,122.047,9.1916,33.8648,4.85E-01,43.31469,69
1,36.78844,-121.91886,122.309,9.1847,33.8575,4.66E-01,43.39896,68
1,36.78844,-121.91886,120.661,9.1831,33.8557,4.28E-01,42.81211,67
1,36.78844,-121.91886,119.809,9.1836,33.8564,4.21E-01,42.51033,66
1,36.78844,-121.91886,120.247,9.182,33.8528,4.11E-01,42.66322,65
1,36.78844,-121.91886,120.061,9.1786,33.847,4.13E-01,42.59241,64
1,36.78844,-121.91886,117.915,9.1725,33.8446,3.59E-01,41.8246,63
1,36.78844,-121.91886,117.539,9.1605,33.8389,3.62E-01,41.67873,62
1,36.78846,-121.91886,117.7,9.1607,33.8381,3.41E-01,41.73552,61
1,36.78846,-121.91883,113.816,9.1564,33.8266,2.66E-01,40.35146,60
1,36.78846,-121.91881,113.514,9.1639,33.8252,2.39E-01,40.25032,59
1,36.78846,-121.91882,113.655,9.1919,33.818,2.68E-01,40.32292,58
1,36.78847,-121.91881,115.503,9.193,33.8176,3.95E-01,40.97951,57
1,36.78848,-121.9188,115.924,9.2209,33.8134,3.44E-01,41.15273,56
1,36.78848,-121.9188,116.787,9.2354,33.8108,3.19E-01,41.47156,55
1,36.78848,-121.91878,119.839,9.2456,33.8117,3.39E-01,42.56505,54
1,36.78848,-121.91878,118.709,9.2767,33.8077,3.45E-01,42.19133,53
1,36.78848,-121.91878,121.508,9.2703,33.8083,4.14E-01,43.18007,52
1,36.78849,-121.91878,121.15,9.2795,33.8086,4.20E-01,43.06184,51
1,36.78849,-121.91877,123.688,9.3126,33.8043,4.50E-01,43.99402,50
1,36.78849,-121.91876,125.705,9.3168,33.8047,4.76E-01,44.71597,49
1,36.7885,-121.91876,124.258,9.3503,33.7962,4.70E-01,44.23086,48
1,36.7885,-121.91876,125.71,9.3457,33.7958,4.90E-01,44.74323,47
1,36.7885,-121.91876,125.834,9.368,33.793,4.64E-01,44.80811,46
1,36.7885,-121.91876,128.849,9.4146,33.7374,5.35E-01,45.90978,45
1,36.7885,-121.91876,135.412,9.3898,33.7469,6.19E-01,48.22563,44
1,36.78851,-121.91876,139.681,9.396,33.7137,6.91E-01,49.74103,43
1,36.78851,-121.91874,141.576,9.3598,33.7121,7.07E-01,50.37525,42
1,36.78852,-121.91874,141.175,9.3569,33.7076,7.32E-01,50.2278,41
1,36.78853,-121.91872,143.074,9.3514,33.6964,7.16E-01,50.89297,40
1,36.78854,-121.9187,144.9,9.349,33.6826,7.42E-01,51.53468,39
1,36.78854,-121.9187,144.773,9.3673,33.6855,7.64E-01,51.51129,38
1,36.78854,-121.9187,144.689,9.3751,33.6865,7.62E-01,51.49063,37
1,36.78856,-121.9187,144.853,9.3722,33.6865,7.60E-01,51.5458,36
1,36.78856,-121.91869,144.854,9.3845,33.687,7.68E-01,51.56026,35
1,36.78856,-121.91868,144.938,9.3889,33.6867,7.72E-01,51.59483,34
1,36.78856,-121.91868,145.069,9.4188,33.6682,7.65E-01,51.66819,33
1,36.78856,-121.91868,146.004,9.4681,33.6485,7.61E-01,52.0497,32
1,36.78856,-121.91868,148.773,9.4636,33.6518,7.31E-01,53.03307,31
1,36.78856,-121.91866,148.666,9.4858,33.645,7.38E-01,53.01813,30
1,36.78856,-121.91867,149.327,9.4981,33.6403,7.29E-01,53.26608,29
1,36.78856,-121.91866,149.966,9.5086,33.6349,7.33E-01,53.50427,28
1,36.78856,-121.91866,150.018,9.5107,33.6337,7.12E-01,53.52454,27
1,36.78856,-121.91866,150.234,9.543,33.6282,7.12E-01,53.63723,26
1,36.78856,-121.91866,151.349,9.6027,33.6278,7.16E-01,54.10563,25
1,36.78857,-121.91866,153.919,9.6134,33.6307,6.84E-01,55.03806,24
1,36.78858,-121.91866,153.447,9.6508,33.6292,6.68E-01,54.91334,23
1,36.78858,-121.91864,155.374,9.6808,33.628,6.36E-01,55.63876,22
1,36.7886,-121.91862,156.555,9.6975,33.6275,6.54E-01,56.08205,21
1,36.78861,-121.91861,157.144,9.7215,33.6267,6.47E-01,56.32181,20
1,36.78862,-121.9186,157.474,9.7433,33.6257,6.38E-01,56.46643,19
1,36.78862,-121.9186,159.306,9.7425,33.6228,6.20E-01,57.12117,18
1,36.78862,-121.9186,158.502,9.829,33.6134,6.17E-01,56.93561,17
